人物名;专属技能名称;专属技能稀有度;特效描述
东方小亮;京城时局谱;金;东方小亮潜入京城偷吃御膳房多年后总结的美食心得
郭鹏举;隔山打牛;金;郭鹏举专属武学，不凭巧劲，单靠努力练就的威猛拳法
鲁长老;奉旨乞讨;金;鲁长老上街要饭时使的拳法，讲究文明要饭，以德服人
含光;幽光剑法;紫;含光从本门武学中自创，该剑法体现了他正在追求的“视之不可见，运之不知有”，但威力似乎变弱了不少。
宵练;御形功;紫;有形之类，大必起於小，行久之物，族必起於少。从小物练起，于是宵练找上了小小毒虫。
承影;惊锋掌法;紫;承影习练武功时，将刀法的招式融合到拳掌之中，使出来声势浩荡，可以吓人。
莫邪子;岱宗造化功;橙;五岳之首的泰山雄峻磅礴，莫邪子观摩泰山气象，自悟了独到的内功法门。
马宁远;先斩后奏;橙;马宁远专属刀法，杭州城内无人不知无人不晓
秦朝;刚正刀;橙;秦朝平日里用的刀法，直来直去，刚正不阿
倪飞绫;飞羽枪;橙;倪飞绫专属枪法，枪法精准，直取敌人的项上人头
游迟迟;红尘一笑;暗金;游迟迟专属技能，可大幅增强所有召唤单位
兰霜容;冷霜剑法;橙;剑招中可以感受到从内到外的寒意，令人敬而远之。
东方无敌;绣花心法;橙;绣花针穿上刺下，绣的是锦绣山河？还是戏水鸳鸯？
任窈窈;清幽腿法;金;长居幽暗冷清的地方而习得，不排除发展为老寒腿的可能性。
唐老太太;催命煞针;橙;唐门称霸西蜀，离不开唐老太太的狠辣手段。唐老太太灭掉一个个仇人，也离不开她的独门杀人暗器。
唐茉茉;破机斩线刀;橙;唐茉茉在修炼刀法时又苦心钻研傀儡机关，试图破除唐赢强大的傀儡。
唐百羡;风流蝶刺;紫;原本只是投掷的玩物，在唐百羡手中不知不觉间也成了一道暗器。
薛蔓;仙女拳法;橙;小仙女薛蔓的自创武功。拳法使出，薛蔓绰约的身姿就犹如坠入凡尘的仙女。
李遁一;蕴冰心决;橙;淡泊冰心，也可化作玉骨冰肌。
黄齐山;碧潮玉箫;橙;空寂幽清桃花岛，一曲玉箫伴碧潮，斯人怅惘慰寂寥。
何小宛;孝女剑;蓝;何小宛平日和父亲练习的剑法，作用不大，主要是突出一个父慈女孝阖家幸福
孙鱼水;水中行;紫;孙鱼水捕鱼时所使用的步法，久而久之成了他的专属轻功
候冠;猴拳;紫;根据华山灵猴的平日嬉闹时的姿态提炼出的拳法
霜蒹葭;白露剑;橙;蒹葭苍苍，白露为霜。所谓伊人，在水一方
独孤清扬;驾鹤;金;只在此山中，云深不知处
君不器;冬阴功;金;君不器独自修炼的内功，据说和南洋某国的食物重名了
何不缺;慈父剑;蓝;何不缺平日和女儿练习的剑法，作用不大，主要是武学名字比较占人便宜
张小鱼;随鱼跃;蓝;张小鱼平日海边玩耍时领悟的轻功，从反手浪到正手浪，姿势华丽，观赏性极佳
薛北平;老神棍;绿;薛北平斥重金从一个叫包打听的老头那学来的棍法
本杰明;西洋万花拳;金;本杰明使用的从西洋流传来的拳法，拳拳到肉
张得志;生意经;橙;张得志的生意经，诚信经营，顾客是菩萨
王铁龙;胸口碎大石;橙;王铁龙为了推销自己的装备店研究出来卖艺武学。优点是真的能扛伤害，缺点是不扛疼
薛不吃;百味谱;橙;薛不吃靠着吃遍天下食材最终集大成的武学
马清扬;五福到;橙;爱国、敬业、和谐、友善、富强！
苏锦伊;锦云诀;橙;妾乘油壁车 ，郎骑青骢马。何处结同心，西陵松柏下
林厉轩;销魂一腿;橙;林厉轩专属，因使用时会销魂一吼，因此得名
林厉辉;销魂一刀;橙;林厉辉专属，因使用时会销魂一吼，因此得名
林致远;销魂一拳;橙;林致远专属，因使用时会销魂一吼，因此得名
林鼎寒;销魂一剑;橙;林鼎寒专属，因使用时会销魂一吼，因此得名
马肖尔;芊剑;紫;芊芊百草生，青青百草思
祝茜;上阕蝶恋花;蓝;泪眼问花花不语，乱红飞过秋千去
梁处仁;下阕蝶恋花;蓝;数点雨声风约住，朦胧淡月云来去
包仁公;仁心仁术;金;人人为我，我为人人，仁心仁术，仁者无敌！
钟达;武当独秀掌;金;钟达凭借武当武学天下第一的信念领悟的专属武学。
了知;少林一枝掌;金;了知凭借少林武学天下第一的信念领悟的专属武学。
白小青;除恶剑法;金;寄托了白小青除尽天下采花贼美好愿景的剑法。
陆人杰;守门刀;橙;陆人杰守门时耍的刀法，舞起来呼呼生风，路人唯恐避之不及。
陆遥;货郎拳;蓝;进可防身，退可捶背，居家旅行，必备拳法。
白久;莫生气;蓝;为了小事发脾气，回头想想又何必。别人生气我不气，气出病来无人替。
韦大宝;石灰纷飞;绿;韦大宝提炼撒石灰的特色独创的专属武学，通过掺水让撒石灰这门技术得到了进一步的升华。
轩辕光;袖里乾坤;橙;轩辕光挥一挥衣袖，带走一片敌人
朱厚黑;朱氏刀法;橙;朱厚黑使用家传宝刀时领悟到的刀法，一刀下去，痛痛痛痛
霜姗姗;情意绵绵剑法;金;霜珊珊与风冲练剑时自创的招式。风冲和人眉来眼去，霜珊珊对风冲情意绵绵
燕飞鹏;烈焰刀法·真;暗金;燕飞鹏的专属武学。燃烧着烈焰的大刀，战时能退敌，夜晚能烤火
李大嘴;庖丁刀法;金;李大嘴切牛肉时领悟的刀法绝学，刀功优秀，刀法缜密，一头牛切出来的肉能做出来一年份的红烧牛肉面。
阿刚;老牛腿法;橙;从天而降的腿法
包子;打狗棍法·仿;橙;包子被打多次后，用自己的狗腿子模仿出来的招式
田老六;龟息神功;橙;田老六凭借多年的种地经验领悟出来的呼吸方式，被后人称为廓清式呼吸
李大娘;卧溪浣泥;橙;李家祖传的治疗秘术，与拥有者誓约后能得到进一步升华
阿羿;七秒绝射;橙;突！突！突！剑气乱射，打多打少全凭天意
阿月;一个大巴掌;橙;平时软绵绵的小拳拳，生气的时候会变成致命铁拳
李小虎;独步江湖剑法;橙;小虎在小溪旁发现的秘籍，不知是谁遗留的，威力远大于江湖剑法
吕崇文;拨元掌;紫;吕崇文从自己珍爱的拨浪鼓中收到启发，习得了这招掌法。
张三丰;阳神出游;橙;张三丰道家修行已达极高层次，是以炼尽阴滓而成就阳神，乃至可以脱离肉身而常存。
汤鸿宇;破空爪;橙;汤鸿宇不爱与人交往，而独自修行时，只能对空气出招。
吕良策;澄正剑法;金;吕良策贯彻正义之心，合道家正宗心法，强大剑意油然而生。
张小缨;嘤嘤嘤;蓝;嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤。
蓝鸣凰;手挥五弦;金;蓝鸣凰炼毒时领悟的专属武学，增加对暗器的破招率，破招后可释放该技能，对暗器流派较为克制
杜小符;玄阴锻骨;蓝;杜小符通过领悟玄阴真经强身健体，取其精华研究出来的专属武学。
蟾谷;玄阴易筋;紫;蟾谷研读《玄阴真经逆》后加以改进从而创造出的专属武学。
韦花娘;白蟒鞭法;紫;韦花娘专属鞭法。部分特殊爱好者不远万里前往广州就是为了挨上她的这一鞭。
春花;玄阴疗伤;蓝;春花根据《玄阴真经逆》改良后的医术。早先有个缺点是会将人变为阴人，在患者的无偿付出下终于解决了。
弘业;赤焰刀法;紫;弘业从赤焰刀上发现的刀法， 似乎还有隐藏着的威力，当生命值低于50%时有额外增伤
风冲;对月纵酒歌;蓝;美酒相伴，仗剑江湖。对月纵酒，好不快活。
任天行;飞天摧星功;蓝;任天行练习吸星吞日大法时领悟的武学。通过攻击恢复生命值，同时还能恢复真气
陆郁;陆家斩;橙;陆家家传的专属刀法，传儿又传女，传到陆郁这一代，就剩陆郁愿意学了
李太白;太白剑法;金;银鞍照白马，飒沓如流星。纵死侠骨香，不惭世上英。
哈斯娜;青鸾凤舞;暗金;瑞世九皋声哕翙，仙人六律势峥荧。青鸾纷飞丹威现，凤舞九天乐熙龄。
